lake,time,depth_m,latitude,longitude,temperature_C,velocity_u_m_s,velocity_v_m_s,velocity_magnitude_m_s,velocity_direction_deg
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33404,8.54369,15.856,0.02443,0.00563,0.02507033705397676,77.02251301488988
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33465,8.54566,15.854,0.03389,0.00981,0.03528127265278281,73.85607172733269
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33526,8.54761,15.854,0.03713,0.00865,0.038124262615819866,76.88597962527047
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33587,8.54955,15.854,0.03858,0.0065,0.0391237319283322,80.43655920044915
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33648,8.55148,15.855,0.03987,0.00454,0.04012765256029812,83.50370653581467
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33708,8.5534,15.855,0.04123,0.00308,0.041344882391899485,85.72777518903177
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33768,8.55531,15.857,0.04241,0.00183,0.04244946407199978,87.52920835830383
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33827,8.55722,15.858,0.04331,0.00057,0.0433137507034429,89.24597762829919
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33887,8.55912,15.859,0.04375,-0.00099,0.04376119970933155,91.29630041162623
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33947,8.56102,15.86,0.04386,-0.00278,0.043948014744695806,93.62675503830704
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34007,8.56292,15.861,0.04425,-0.00423,0.044451719876738176,95.4604956279158
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34067,8.56482,15.862,0.04473,-0.00451,0.0449567903658613,95.75751426293014
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34126,8.56672,15.86,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33271,8.5446,15.853,0.02415,0.00267,0.024297147980781614,83.69105765350754
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33332,8.54657,15.852,0.03503,0.00746,0.035815534339166295,77.97786818963766
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33394,8.54852,15.851,0.03786,0.00658,0.03842754220607922,80.14057983422873
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33455,8.55045,15.851,0.03863,0.00454,0.03889586738973692,83.29704773893044
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33515,8.55238,15.852,0.03964,0.0027,0.03973184616903675,86.10343004377474
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33576,8.5543,15.853,0.04086,0.00122,0.040878209354129,88.28976774764762
